UserId, SessionType, dt in ms, HeadOrigin.x, HeadOrigin.y, HeadOrigin.z, HeadDir.x, HeadDir.y, HeadDir.z, EyeOrigin.x, EyeOrigin.y, EyeOrigin.z, EyeDir.x, EyeDir.y, EyeDir.z, EyeHitPos.x, EyeHitPos.y, EyeHitPos.z
tester, Session00, 6.9855, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 11.9403, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 16.9276, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 19.9184, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 23.9088, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 27.9274, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 30.8897, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 35.8776, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 39.8667, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 43.8566, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 48.8774, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 51.8326, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 57.8549, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 62.8375, 0.2811615, -0.3156107, 1.177639, 0, 0, 0, 0.2811615, -0.3156107, 1.177639, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 67.8207, 0.2811615, -0.3156107, 1.17764, 0, 0, 0, 0.2811615, -0.3156107, 1.17764, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
tester, Session00, 71.8074, 0.2811615, -0.3156107, 1.177643, 0, 0, 0, 0.2811615, -0.3156107, 1.177643, 0, 0, 1, 0.2811615, -0.3156107, 1.967438
